,symbol,company,sector,industry,city,state,code
0,MMM,3M Company,Industrials,Industrial Conglomerates,St. Paul,Minnesota,MN
1,ABT,Abbott Laboratories,Health Care,Health Care Equipment,North Chicago,Illinois,IL
2,ABBV,AbbVie Inc.,Health Care,Pharmaceuticals,North Chicago,Illinois,IL
3,ABMD,ABIOMED Inc,Health Care,Health Care Equipment,Danvers,Massachusetts,MA
5,ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,Santa Monica,California,CA
6,ADBE,Adobe Systems Inc,Information Technology,Application Software,San Jose,California,CA
7,AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors,Sunnyvale,California,CA
8,AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,Roanoke,Virginia,VA
9,AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,Arlington,Virginia,VA
10,AMG,Affiliated Managers Group Inc,Financials,Asset Management & Custody Banks,Beverly,Massachusetts,MA
11,AFL,AFLAC Inc,Financials,Life & Health Insurance,Columbus,Georgia,GA
12,A,Agilent Technologies Inc,Health Care,Health Care Equipment,Santa Clara,California,CA
13,APD,Air Products & Chemicals Inc,Materials,Industrial Gases,Allentown,Pennsylvania,PA
14,AKAM,Akamai Technologies Inc,Information Technology,Internet Services & Infrastructure,Cambridge,Massachusetts,MA
15,ALK,Alaska Air Group Inc,Industrials,Airlines,Seattle,Washington,WA
16,ALB,Albemarle Corp,Materials,Specialty Chemicals,Baton Rouge,Louisiana,LA
17,ARE,Alexandria Real Estate Equities Inc,Real Estate,Office REITs,Pasadena,California,CA
18,ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology,Cheshire,Connecticut,CT
19,ALGN,Align Technology,Health Care,Health Care Supplies,San Jose,California,CA
22,ADS,Alliance Data Systems,Information Technology,Data Processing & Outsourced Services,Plano,Texas,TX
23,LNT,Alliant Energy Corp,Utilities,Electric Utilities,Madison,Wisconsin,WI
24,ALL,Allstate Corp,Financials,Property & Casualty Insurance,Northfield Township,Illinois,IL
25,GOOGL,Alphabet Inc Class A,Communication Services,Interactive Media & Services,Mountain View,California,CA
26,GOOG,Alphabet Inc Class C,Communication Services,Interactive Media & Services,Mountain View,California,CA
27,MO,Altria Group Inc,Consumer Staples,Tobacco,Richmond,Virginia,VA
28,AMZN,Amazon.com Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,Seattle,Washington,WA
29,AEE,Ameren Corp,Utilities,Multi-Utilities,St. Louis,Missouri,MO
30,AAL,American Airlines Group,Industrials,Airlines,Fort Worth,Texas,TX
31,AEP,American Electric Power,Utilities,Electric Utilities,Columbus,Ohio,OH
32,AXP,American Express Co,Financials,Consumer Finance,New York,New York,NY
33,AIG,"American International Group, Inc.",Financials,Property & Casualty Insurance,New York,New York,NY
34,AMT,American Tower Corp.,Real Estate,Specialized REITs,Boston,Massachusetts,MA
35,AWK,American Water Works Company Inc,Utilities,Water Utilities,Voorhees,New Jersey,NJ
36,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,Minneapolis,Minnesota,MN
37,ABC,AmerisourceBergen Corp,Health Care,Health Care Distributors,Chesterbrook,Pennsylvania,PA
38,AME,AMETEK Inc.,Industrials,Electrical Components & Equipment,Berwyn,Pennsylvania,PA
39,AMGN,Amgen Inc.,Health Care,Biotechnology,Thousand Oaks,California,CA
40,APH,Amphenol Corp,Information Technology,Electronic Components,Wallingford,Connecticut,CT
41,APC,Anadarko Petroleum Corp,Energy,Oil & Gas Exploration & Production,The Woodlands,Texas,TX
42,ADI,"Analog Devices, Inc.",Information Technology,Semiconductors,Norwood,Massachusetts,MA
43,ANSS,ANSYS,Information Technology,Application Software,Canonsburg,Pennsylvania,PA
44,ANTM,Anthem Inc.,Health Care,Managed Health Care,Indianapolis,Indiana,IN
46,AOS,A.O. Smith Corp,Industrials,Building Products,Milwaukee,Wisconsin,WI
47,APA,Apache Corporation,Energy,Oil & Gas Exploration & Production,Houston,Texas,TX
48,AIV,Apartment Investment & Management (Aimco),Real Estate,Residential REITs,Denver,Colorado,CO
49,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",Cupertino,California,CA
50,AMAT,Applied Materials Inc.,Information Technology,Semiconductor Equipment,Santa Clara,California,CA
52,ADM,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products,Decatur,Illinois,IL
53,ARNC,Arconic Inc.,Industrials,Aerospace & Defense,New York,New York,NY
54,ANET,Arista Networks,Information Technology,Communications Equipment,Santa Clara,California,CA
55,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,Itasca,Illinois,IL
56,AIZ,Assurant Inc.,Financials,Multi-line Insurance,New York,New York,NY
57,T,AT&T Inc.,Communication Services,Integrated Telecommunication Services,Dallas,Texas,TX
58,ADSK,Autodesk Inc.,Information Technology,Application Software,San Rafael,California,CA
59,ADP,Automatic Data Processing,Information Technology,Internet Software & Services,Roseland,New Jersey,NJ
60,AZO,AutoZone Inc,Consumer Discretionary,Specialty Stores,Memphis,Tennessee,TN
62,AVY,Avery Dennison Corp,Materials,Paper Packaging,Glendale,California,CA
63,BHGE,"Baker Hughes, a GE Company",Energy,Oil & Gas Equipment & Services,Houston,Texas,TX
64,BLL,Ball Corp,Materials,Metal & Glass Containers,Broomfield,Colorado,CO
65,BAC,Bank of America Corp,Financials,Diversified Banks,Charlotte,North Carolina,NC
66,BK,The Bank of New York Mellon Corp.,Financials,Asset Management & Custody Banks,New York,New York,NY
67,BAX,Baxter International Inc.,Health Care,Health Care Equipment,Deerfield,Illinois,IL
68,BBT,BB&T Corporation,Financials,Regional Banks,Winston-Salem,North Carolina,NC
69,BDX,Becton Dickinson,Health Care,Health Care Equipment,Franklin Lakes,New Jersey,NJ
70,BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,Omaha,Nebraska,NE
71,BBY,Best Buy Co. Inc.,Consumer Discretionary,Computer & Electronics Retail,Richfield,Minnesota,MN
72,BIIB,Biogen Inc.,Health Care,Biotechnology,Weston,Massachusetts,MA
73,BLK,BlackRock,Financials,Asset Management & Custody Banks,New York,New York,NY
74,HRB,Block H&R,Consumer Discretionary,Specialized Consumer Services,Kansas City,Missouri,MO
75,BA,Boeing Company,Industrials,Aerospace & Defense,Chicago,Illinois,IL
76,BKNG,Booking Holdings Inc,Consumer Discretionary,Internet & Direct Marketing Retail,Norwalk,Connecticut,CT
77,BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment,Auburn Hills,Michigan,MI
78,BXP,Boston Properties,Real Estate,Office REITs,Boston,Massachusetts,MA
80,BHF,Brighthouse Financial Inc,Financials,Life & Health Insurance,Charlotte,North Carolina,NC
81,BMY,Bristol-Myers Squibb,Health Care,Health Care Distributors,New York,New York,NY
82,AVGO,Broadcom,Information Technology,Semiconductors,San Jose,California,CA
83,BR,Broadridge Financial Solutions,Information Technology,Data Processing & Outsourced Services,Lake Success,New York,NY
84,BF.B,Brown-Forman Corp.,Consumer Staples,Distillers & Vintners,Louisville,Kentucky,KY
85,CHRW,C. H. Robinson Worldwide,Industrials,Air Freight & Logistics,Eden Prairie,Minnesota,MN
86,COG,Cabot Oil & Gas,Energy,Oil & Gas Exploration & Production,Houston,Texas,TX
87,CDNS,Cadence Design Systems,Information Technology,Application Software,San Jose,California,CA
88,CPB,Campbell Soup,Consumer Staples,Packaged Foods & Meats,Camden,New Jersey,NJ
89,COF,Capital One Financial,Financials,Consumer Finance,Tysons Corner,Virginia,VA
90,CAH,Cardinal Health Inc.,Health Care,Health Care Distributors,Dublin,Ohio,OH
91,KMX,Carmax Inc,Consumer Discretionary,Specialty Stores,Richmond,Virginia,VA
92,CCL,Carnival Corp.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Miami,Florida,FL
93,CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Trucks,Peoria,Illinois,IL
