,investor,year,weighted_score
10954,"Mirae Asset Global Investments Co., Ltd.",2013,70.57834493111147
9477,LINCLUDEN MANAGEMENT LTD,2013,52.085852182014435
1936,"BRANDYWINE MANAGERS, LLC",2013,27.19303148555424
1759,"BKD Wealth Advisors, LLC",2013,24.649698308083302
8113,"Hillhouse Capital Management, Ltd.",2013,23.13500452976134
8896,Jericho Capital Asset Management L.P.,2013,21.535251780884344
14019,"Route One Investment Company, L.P.",2013,21.29576182987318
16594,"Tricadia Capital Management, LLC",2013,20.46600721439389
9319,Kynikos Associates LP,2013,19.87023932679667
14612,SOMERVILLE KURT F,2013,18.503402680918143
7830,HT Partners LLC,2013,18.467287993062712
72,ABERDEEN ASSET MANAGEMENT PLC/UK,2013,17.821742526814486
13187,"Profit Investment Management, LLC",2013,17.562387974838735
6329,Financial Engines Advisors L.L.C.,2013,17.378988118585017
5274,ECOFIN LTD,2013,16.566526851499724
1574,BAUPOST GROUP LLC/MA,2013,16.262857906854347
6895,"GOODNOW INVESTMENT GROUP, LLC",2013,15.334959244962858
16664,"Twin Tree Management, LP",2013,15.300257105385358
12726,Parametrica Management Ltd,2013,15.243583682508799
9272,"Knighthead Capital Management, LLC",2013,15.164137297643345
10208,MARTIN CURRIE LTD,2013,14.695617335175134
13234,"QCM Cayman, Ltd.",2013,14.19681517508166
11936,Oceanic Investment Management LTD,2013,13.964675358399363
7028,"GRIMES & COMPANY, INC.",2013,13.81433261810642
12767,"Partner Investment Management, L.P.",2013,13.221063336228784
2300,Beach Point Capital Management LP,2013,12.890284075672302
17581,Waratah Capital Advisors Ltd.,2013,12.836651390769529
6389,First Dallas Securities Inc.,2013,12.766219473384146
10421,"MIG Capital, LLC",2013,12.730974220073612
12762,"Partner Fund Management, L.P.",2013,12.575991134321502
6879,GOLDENTREE ASSET MANAGEMENT LP,2013,12.544882338648346
9876,"Lomas Capital Management, LLC",2013,12.267401208956247
1969,BREMER TRUST NATIONAL ASSOCIATION,2013,12.133269535617853
17839,"Wintergreen Advisers, LLC",2013,11.871644098565103
2568,Botty Investors LLC,2013,11.744446528841827
13535,RIVERHEAD CAPITAL MANAGEMENT LLC,2013,11.691970027660817
8910,"Johnson Financial Group, Inc.",2013,11.510446693098284
1426,BAIN CAPITAL INVESTORS LLC,2013,10.808132310060001
278,ALKEON CAPITAL MANAGEMENT LLC,2013,10.743757971358425
8835,Jabre Capital Partners S.A.,2013,10.565223583653461
13898,Richard Bernstein Advisors LLC,2013,10.265009695791692
11617,"Nikko Asset Management Americas, Inc.",2013,10.238063466199252
12451,"POPE ASSET MANAGEMENT, LLC",2013,10.101294588515474
8095,Highstreet Asset Management Inc.,2013,10.08501850906208
10982,"Miura Global Management, LLC",2013,9.90795287169325
342,ALTRINSIC GLOBAL ADVISORS LLC,2013,9.843229033581308
7335,"Granite Investment Partners, LLC",2013,9.837301658239909
5555,Eidelman Virant Capital,2013,9.829975837732782
13312,"Quantitative Investment Management, LLC",2013,9.63416618311184
671,AT Bancorp,2013,9.63211145493124
4500,Covalent Partners LLC,2013,9.607752005589386
11202,"NEW MOUNTAIN VANTAGE ADVISERS, L.L.C.",2013,9.530705622739346
14400,"SG Americas Securities, LLC",2013,9.316231479743394
1210,"Arlington Value Capital, LLC",2013,9.193116338559758
14816,STEINBERG ASSET MANAGEMENT LLC,2013,9.005095171903973
16334,Taconic Capital Advisors LP,2013,8.873966194350512
11546,"New England Investment & Retirement Group, Inc.",2013,8.817199877753168
12744,Parkside Financial Bank & Trust,2013,8.778227015037274
6207,"FSI GROUP, LLC",2013,8.725727754139747
14498,SILVERCREST ASSET MANAGEMENT GROUP LLC,2013,8.714271943378737
615,ARROWGRASS CAPITAL PARTNERS (US) LP,2013,8.579611798147974
1312,Ativo Capital Management LLC,2013,8.54867328531392
12281,PEKIN SINGER STRAUSS ASSET MANAGEMENT /IL,2013,8.370006118377194
10135,MARIETTA INVESTMENT PARTNERS LLC,2013,8.329437767445015
127,"ACT II MANAGEMENT, LP",2013,8.299208868305286
2613,Brahman Capital Corp.,2013,8.238271317917858
16682,Tyrus Capital S.A.M.,2013,8.234006672908048
8729,"JBF Capital, Inc.",2013,8.177109790748212
12586,PUBLIC SECTOR PENSION INVESTMENT BOARD,2013,8.169533360411775
10931,"Miller Investment Management, LP",2013,8.052452047836663
16930,VIKING FUND MANAGEMENT LLC,2013,7.821351849846732
15062,"Sand Hill Global Advisors, LLC",2013,7.803850953142829
9631,LYRICAL ASSET MANAGEMENT LP,2013,7.796534654051715
7294,"GoodHaven Capital Management, LLC",2013,7.757267212397167
16659,"Twin Securities, Inc.",2013,7.753234915811138
10199,MARTIN & CO INC /TN/,2013,7.642476551764014
11894,OSTERWEIS CAPITAL MANAGEMENT INC,2013,7.26954673868681
17321,"WESPAC Advisors, LLC",2013,7.252805140866236
4315,"Commonwealth Equity Services, Inc",2013,7.185039456238606
15249,Serengeti Asset Management LP,2013,7.140160727692754
10703,"Manatuck Hill Partners, LLC",2013,7.125511357336119
17698,"West Family Investments, Inc.",2013,7.011276106643626
2511,"BlueMountain Capital Management, LLC",2013,6.981554453810459
14511,"SIR Capital Management, L.P.",2013,6.936044551442137
9833,Lionstone Capital Management LLC,2013,6.9190086213828454
11317,NOMURA HOLDINGS INC,2013,6.898780316763854
4674,"D. E. Shaw & Co., Inc.",2013,6.804845737286934
4874,DIKER MANAGEMENT LLC,2013,6.758624384469772
11074,Mount Lucas Management LP,2013,6.661873400322169
7925,"Hanson McClain, Inc.",2013,6.649626631240112
6837,GLG Partners LP,2013,6.62683790893405
10038,MADISON INVESTMENT HOLDINGS INC,2013,6.583899844313624
12374,"PIERSHALE FINANCIAL GROUP, INC.",2013,6.448449614527178
11836,OPPENHEIMER ASSET MANAGEMENT INC.,2013,6.443667390535118
17395,"WFG Advisors, LP",2013,6.3768807704436
3215,CHURCHILL MANAGEMENT Corp,2013,6.37451739297619
12670,"Palisades Hudson Asset Management, L.P.",2013,6.353874241485387
14477,SIGNATURE ESTATE & INVESTMENT ADVISORS LLC,2013,6.2199838728477
12065,"Owl Creek Asset Management, L.P.",2013,6.149340780708136
9431,"LETKO, BROSSEAU & ASSOCIATES INC",2013,6.148871716099496
15009,"Saba Capital Management, L.P.",2013,6.014073648038737
355,AMARILLO NATIONAL BANK,2013,5.957170439374741
1811,"BNP PARIBAS ARBITRAGE, SA",2013,5.953059342290545
15750,"Summit Asset Management, LLC",2013,5.944989681527677
12498,PRINCIPAL FINANCIAL GROUP INC,2013,5.928627370288134
9068,"KINGDON CAPITAL MANAGEMENT, L.L.C.",2013,5.802426172639362
6165,FPR PARTNERS LLC,2013,5.793406845261821
12539,PROFFITT & GOODSON INC,2013,5.790631820069829
