,investor,year,weighted_score
10954,"Mirae Asset Global Investments Co., Ltd.",2013,70.57834493111147
6265,Fayerweather Charles,2013,64.23594120950759
9472,LILLY ENDOWMENT INC,2013,60.4326688927369
13587,ROBERT WOOD JOHNSON FOUNDATION,2013,59.92859976645243
16901,VERIZON COMMUNICATIONS INC,2013,58.5991710380303
506,APG Investment Services NV,2013,53.45479233439129
10334,MEDIATEL PARTNERS,2013,53.308175012865384
9477,LINCLUDEN MANAGEMENT LTD,2013,52.085852182014435
4419,"Cook & Bynum Capital Management, LLC",2013,50.31756700925551
10477,"MITSUBISHI UFJ SECURITIES (USA), Inc.",2013,50.20014633187929
16292,TUKMAN GROSSMAN CAPITAL MANAGEMENT INC,2013,49.08948125440961
400,AMERICAN FINANCIAL GROUP INC RETIREMENT & SAVINGS PLAN/,2013,48.47981136651551
16990,"VTL Associates, LLC",2013,48.15219703851513
17513,WOODBURN R ROBERT JR,2013,48.1381485541667
5719,"Evercore Trust Company, N.A.",2013,47.64395344099474
6409,"First Financial Bank, N.A. - Trust Division",2013,44.71760169150151
9551,"LONGVIEW ASSET MANAGEMENT, LLC",2013,44.63984061664478
17291,WELLCOME TRUST LTD (THE) as trustee of the WELLCOME TRUST,2013,42.88741232724778
18005,united american securities inc. (d/b/a uas asset management),2013,42.60365161205042
17622,Wayzata Investment Partners LLC,2013,41.42274741650571
14084,SALIENT TRUST CO LTA,2013,41.32660450353893
1702,BERKSHIRE HATHAWAY INC,2013,41.238076929824
14739,SRB Corp,2013,41.173708838090526
16126,TORCHMARK CORP,2013,41.16708316620601
6491,Focused Investors LLC,2013,40.8853320509575
645,ASHMORE WEALTH MANAGEMENT LLC,2013,39.704484714023536
11584,"Newman Dignan & Sheerar, Inc.",2013,39.68784617500743
3683,"CSU Producer Resources, Inc.",2013,39.614961122507665
3722,CULLINAN ASSOCIATES INC,2013,39.11239921267072
14771,STARR INTERNATIONAL CO INC,2013,38.91592293227422
6988,GREENLEAF TRUST,2013,38.215440476129196
14848,STEWART W P & CO LTD,2013,38.05724884907396
17031,"Vantage Investment Partners, LLC",2013,37.74717606481398
6744,GENERAL RE NEW ENGLAND ASSET MANAGEMENT INC,2013,37.70672830797992
17452,WILLIAM & FLORA HEWLETT FOUNDATION/,2013,37.539883900381795
10205,MARTIN CAPITAL MANAGEMENT LLC,2013,37.38984641055045
10292,MCDONALD CAPITAL INVESTORS INC/CA,2013,37.30902051271446
5769,FAIRHOLME CAPITAL MANAGEMENT LLC,2013,37.289232035967046
1941,BRANDYWINE TRUST CO,2013,37.245547359613916
14106,SANBORN KILCOLLIN PARTNERS LLC,2013,37.20824430993666
15401,"Sleep, Zakaria & CO Ltd.",2013,37.01065126242705
2143,BUSH ODONNELL INVESTMENT ADVISORS INC,2013,36.042905206793726
9369,"LATEEF INVESTMENT MANAGEMENT, L.P.",2013,35.85037547513045
9119,"KOKUSAI Asset Management Co., Ltd.",2013,35.6487909791688
3597,CORTLAND ASSOCIATES INC/MO,2013,35.59548975071602
17866,Wright Private Asset Management,2013,35.52955877205308
13755,Randolph Co Inc,2013,35.47083585873095
9359,LANSDOWNE PARTNERS LIMITED PARTNERSHIP,2013,35.40474545638934
6671,GAMBLE JONES INVESTMENT COUNSEL,2013,35.39233092457765
307,ALLIED IRISH BANKS PLC,2013,35.26798519960863
12607,PUZO MICHAEL J,2013,34.83447344347353
14873,STONEHILL CAPITAL MANAGEMENT LLC,2013,34.55760506852624
289,ALLEN HOLDING INC /NY,2013,34.53669963690751
17995,guardian investment management,2013,34.52379335522908
17878,YACKTMAN ASSET MANAGEMENT LP,2013,34.3091530162971
4510,"Covenant Financial Services, LLC",2013,34.235095982612194
5318,EGERTON CAPITAL LTD,2013,34.090583086416416
15848,TAUBE HODSON STONEX PARTNERS LLP,2013,33.81319896550024
5467,EXCALIBUR MANAGEMENT CORP,2013,33.7874396971674
12445,POLEN CAPITAL MANAGEMENT LLC,2013,33.71474454791837
8748,JENSEN INVESTMENT MANAGEMENT INC,2013,33.37082845351063
17003,"ValueAct Holdings, L.P.",2013,33.265370330846224
8514,Independent Franchise Partners LLP,2013,33.190326837904486
10992,"Mizuho Bank, Ltd.",2013,33.14047723771265
17065,Veritas Investment Management LLP,2013,33.01882839176503
15610,StepStone Group LP,2013,32.96392094553447
13720,"RWWM, Inc.",2013,32.91610026376761
6639,Fundsmith LLP,2013,32.835620699844874
6977,GREEN VALLEY INVESTORS LLC,2013,32.79802866925733
1439,BAKER BOYER NATIONAL BANK,2013,32.7939749012302
14036,Ruffer LLP,2013,32.597862873749364
14843,STEWART & PATTEN CO LLC,2013,32.39909097982453
7107,Gabalex Capital Management LLC,2013,32.381600187783164
16727,UNITED BANK /VA/,2013,32.20633721915455
4879,DILLON & ASSOCIATES INC,2013,32.0131009108163
1462,BALESTRA CAPITAL LTD.,2013,31.903908140364152
3948,"Capital Wealth Planning, LLC",2013,31.728766960317827
13598,ROBSHAW & JULIAN ASSOCIATES INC,2013,31.652227177504358
1376,"Axel Capital Management, LLC",2013,31.644140125264084
16329,TYBOURNE CAPITAL MANAGEMENT HK LTD,2013,31.600688881153943
11329,NOROIAN STEVEN A & ASSOCIATES INC/CA,2013,31.56288230678673
8119,"Hillman Capital Management, Inc.",2013,31.491234863276212
5519,Edge Wealth Management LLC,2013,31.45116001263321
794,"Adams Asset Advisors, LLC",2013,31.33960342203043
12325,PETROLEUM & RESOURCES CORP,2013,31.291147300687758
7980,"Haverford Financial Services, Inc.",2013,31.278668502921565
943,"Alpine Investment Management, LLC",2013,31.16545478773176
15934,"TEGEAN CAPITAL MANAGEMENT, LLC",2013,31.11204929184904
7346,"Grantham, Mayo, Van Otterloo & Co. LLC",2013,30.88936503857408
4619,Cumberland Partners Ltd,2013,30.86557545158683
10579,MOUNT VERNON ASSOCIATES INC /MD/,2013,30.829898477249735
17514,WOODLEY FARRA MANION PORTFOLIO MANAGEMENT INC,2013,30.73208269840438
2359,Benin Management CORP,2013,30.570750040460798
10667,Magellan Asset Management Ltd,2013,30.520843383397427
7771,HORAN CAPITAL MANAGEMENT,2013,30.420067914018244
17053,Veritas Asset Management LLP,2013,30.284876807444693
17813,"Wilson, Kemp & Associates, Inc.",2013,30.10440731502605
10716,"Manikay Partners, LLC",2013,30.070228765554432
5542,Edinburgh Partners Ltd,2013,30.035187378226446
6046,FISHMAN JAY A LTD/MI,2013,29.770934792146058
12642,"Pacifica Capital Investments, LLC",2013,29.62050960190061
16266,TRUSTCO BANK CORP N Y,2013,29.559499564839868
13571,RNC CAPITAL MANAGEMENT LLC,2013,29.382136891173303
94,ACADEMY CAPITAL MANAGEMENT INC/TX,2013,29.300539517887987
10528,MONTGOMERY INVESTMENT MANAGEMENT INC,2013,29.29024295259744
10781,"Martin Investment Management, LLC",2013,29.26876732858149
597,ARMSTRONG HENRY H ASSOCIATES INC,2013,29.238404268136822
12510,PRIVATE ASSET MANAGEMENT INC,2013,29.100884298562047
14221,SCHULHOFF & CO INC,2013,29.074662661825847
5292,EDGEWOOD MANAGEMENT LLC,2013,28.988038088550002
17710,"WestEnd Advisors, LLC",2013,28.98393791957435
14568,SMITHBRIDGE ASSET MANAGEMENT INC/DE,2013,28.935026651386952
9430,LEONARD GREEN PARTNERS LP,2013,28.829566584087612
8651,J O Hambro Investment Management Ltd,2013,28.80620143640872
4287,"Coho Partners, Ltd.",2013,28.802147073766143
3805,Caledonia (Private) Investments Pty Ltd,2013,28.80031129299505
10177,MARSHALL WACE ASIA Ltd,2013,28.723393297933626
6401,"First Fiduciary Investment Counsel, Inc.",2013,28.564946489024944
11274,NICHOLS & PRATT ADVISERS LLP /MA,2013,28.513761507052102
15783,Suncoast Equity Management,2013,28.491108557890502
