,investor,year,weighted_score
192,AETNA INC /PA/,2017,54.083383972370456
10338,MEDIATEL PARTNERS,2017,52.33881003128858
9555,"LONGVIEW ASSET MANAGEMENT, LLC",2017,48.53225934570424
14775,STARR INTERNATIONAL CO INC,2017,47.42146110188756
16218,"TRIAN FUND MANAGEMENT, L.P.",2017,46.18685414875016
6555,"Founders Fund IV Management, LLC",2017,45.057435728527786
14743,SRB Corp,2017,44.85212334592171
11193,NEW ENGLAND ASSET MANAGEMENT INC,2017,44.26912108886041
5723,"Evercore Trust Company, N.A.",2017,42.88257862036569
16200,TRB Advisors LP,2017,42.87681380453957
6250,Family Capital Trust Co,2017,41.90802749470895
15219,"Seminole Management Co., Inc.",2017,41.515588277908606
9986,"Lyons Wealth Management, LLC.",2017,40.18687167151679
9213,"Kessler Investment Group, LLC",2017,39.92163771704994
649,ASHMORE WEALTH MANAGEMENT LLC,2017,38.54257700634541
15111,Saratoga Research & Investment Management,2017,38.241377083171585
6981,GREEN VALLEY INVESTORS LLC,2017,37.745471186448306
8046,Hengistbury Investment Partners LLP,2017,37.6590475296303
13724,"RWWM, Inc.",2017,36.41705946134563
625,ARROWGRASS CAPITAL PARTNERS LLP,2017,36.28419868568063
4423,"Cook & Bynum Capital Management, LLC",2017,35.71455199797238
6992,GREENLEAF TRUST,2017,35.62463582961297
2849,CALEDONIA INVESTMENTS PLC,2017,35.5966239549026
8752,JENSEN INVESTMENT MANAGEMENT INC,2017,35.23064264005625
1892,BOURNE LENT ASSET MANAGEMENT INC,2017,34.75760134660464
7823,"HS Management Partners, LLC",2017,34.67817274580106
8511,Independence Trust CO,2017,34.31697375802026
8336,INDEPENDENT INVESTORS INC,2017,34.24107861750837
17069,Veritas Investment Management LLP,2017,33.859517488575555
17035,"Vantage Investment Partners, LLC",2017,33.76825145304234
14087,SALIENT TRUST CO LTA,2017,33.468011311660696
1517,BANK PICTET & CIE (ASIA) LTD,2017,33.37669640059093
5286,EDGAR LOMAX CO/VA,2017,33.37044406932188
7069,GUARDIAN INVESTMENT MANAGEMENT,2017,33.35829900640559
4593,Cryder Capital Partners LLP,2017,33.29658553363739
13351,R.M.SINCERBEAUX CAPITAL MANAGEMENT LLC,2017,33.29178902033745
5571,"Eliot Finkel Investment Counsel, LLC",2017,33.25977883360392
3706,CTC LLC,2017,33.05131756355351
1443,BAKER BOYER NATIONAL BANK,2017,32.9287343947967
11758,"OAKTOP CAPITAL MANAGEMENT II, L.P.",2017,32.80595554510197
14040,Ruffer LLP,2017,32.71482214061371
17887,"YCG, LLC",2017,32.69855604552134
7984,"Haverford Financial Services, Inc.",2017,32.59413292572186
12449,POLEN CAPITAL MANAGEMENT LLC,2017,32.37702955708185
8518,Independent Franchise Partners LLP,2017,32.31904311168751
17470,WILSEY ASSET MANAGEMENT INC,2017,32.22610190877309
7775,HORAN CAPITAL MANAGEMENT,2017,32.131597930561306
10671,Magellan Asset Management Ltd,2017,31.908129618291593
2147,BUSH ODONNELL INVESTMENT ADVISORS INC,2017,31.865424510512856
798,"Adams Asset Advisors, LLC",2017,31.858269801046116
5471,EXCALIBUR MANAGEMENT CORP,2017,31.799142068829077
1945,BRANDYWINE TRUST CO,2017,31.71231428294962
16672,"Two Creeks Capital Management, LP",2017,31.695112352076663
17295,WELLCOME TRUST LTD (THE) as trustee of the WELLCOME TRUST,2017,31.608258213964525
2422,"Birchview Capital, LP",2017,31.564488316549248
3483,COMPASS CAPITAL MANAGEMENT INC/,2017,31.473671143285532
16731,UNITED BANK /VA/,2017,31.45901795261135
17723,"Westchester Capital Management, Inc.",2017,31.44908742364187
7090,GVO Asset Management Ltd,2017,31.422556436300255
6153,"FOUNDERS CAPITAL MANAGEMENT, LLC",2017,31.36713345593437
49,"440 INVESTMENT GROUP, LLC",2017,31.357984233381575
6495,Focused Investors LLC,2017,31.234694335246875
13602,ROBSHAW & JULIAN ASSOCIATES INC,2017,31.123997724120446
4461,"Cornerstone Investment Partners, LLC",2017,31.093484574194328
8176,Holowesko Partners Ltd.,2017,31.04587351935418
12514,PRIVATE ASSET MANAGEMENT INC,2017,30.926370337970063
6405,"First Fiduciary Investment Counsel, Inc.",2017,30.843173769824347
18009,united american securities inc. (d/b/a uas asset management),2017,30.829708544522987
17714,"WestEnd Advisors, LLC",2017,30.748342373861686
3687,"CSU Producer Resources, Inc.",2017,30.593864496580515
6257,Family Management Corp,2017,30.536754640741492
2231,Barbara Oil Co.,2017,30.534809455330716
6525,"Forester Capital Management, LTD",2017,30.222343760361294
10290,MCDANIEL TERRY & CO,2017,30.101819440082156
8072,HighPoint Advisor Group LLC,2017,29.95174616410303
17057,Veritas Asset Management LLP,2017,29.940105819524163
16880,VAN STRUM & TOWNE INC.,2017,29.826899698868754
6965,"GREATMARK INVESTMENT PARTNERS, INC.",2017,29.739215157366083
4549,Credit Capital Investments LLC,2017,29.7130118229565
9357,LANSDOWNE PARTNERS (UK) LLP,2017,29.672900671835368
9817,Lindsell Train Ltd,2017,29.67062495344101
7737,HOERTKORN RICHARD CHARLES,2017,29.607922373190572
6675,GAMBLE JONES INVESTMENT COUNSEL,2017,29.596996386062006
10120,MARATHON CAPITAL MANAGEMENT,2017,29.40230473588087
9640,LaFleur & Godfrey LLC,2017,29.388103190435253
2531,"Blume Capital Management, Inc.",2017,29.22060509557716
4883,DILLON & ASSOCIATES INC,2017,29.17290041941889
7204,"Gibraltar Capital Management, Inc.",2017,29.03775498500291
1706,BERKSHIRE HATHAWAY INC,2017,28.95891482287971
10619,MUFG Securities EMEA plc,2017,28.888427289673047
6702,GARLAND CAPITAL MANAGEMENT INC,2017,28.796412033220477
6643,Fundsmith LLP,2017,28.781252508906995
12937,"Pettee Investors, Inc.",2017,28.622208041844747
5312,"EDMP, INC.",2017,28.529894046871007
16447,Theleme Partners LLP,2017,28.500931214400246
