investor,year,weighted_score
Rehmann Capital Advisory Group,2015,128.05156540916673
SALIENT TRUST CO LTA,2015,121.87717058536933
"USA MUTUALS ADVISORS, INC.",2015,107.52053251466083
Gratus Capital LLC,2015,88.16392602935078
HALL CAPITAL MANAGEMENT CO INC,2015,71.70915200522327
"Mirae Asset Global Investments Co., Ltd.",2013,70.57834493111147
Bristol Gate Capital Partners Inc.,2015,64.60988510360386
Fayerweather Charles,2013,64.23594120950759
LILLY ENDOWMENT INC,2013,60.4326688927369
LILLY ENDOWMENT INC,2015,60.4326688927369
ROBERT WOOD JOHNSON FOUNDATION,2013,59.92859976645243
ROBERT WOOD JOHNSON FOUNDATION,2015,59.89263181620748
Swedbank,2015,58.6208808869124
VERIZON COMMUNICATIONS INC,2013,58.5991710380303
LJ TRUST Co LLC,2015,55.68707635418188
AETNA INC /PA/,2017,54.083383972370456
APG Investment Services NV,2013,53.45479233439129
MEDIATEL PARTNERS,2013,53.308175012865384
"Saiers Capital, LLC",2015,52.94293237048739
MEDIATEL PARTNERS,2015,52.641583980194184
"LONGVIEW ASSET MANAGEMENT, LLC",2015,52.435371532810564
MEDIATEL PARTNERS,2017,52.33881003128858
LINCLUDEN MANAGEMENT LTD,2013,52.085852182014435
SEARLE & CO.,2015,50.44575780740542
"Cook & Bynum Capital Management, LLC",2013,50.31756700925551
"MITSUBISHI UFJ SECURITIES (USA), Inc.",2013,50.20014633187929
TUKMAN GROSSMAN CAPITAL MANAGEMENT INC,2013,49.08948125440961
"LONGVIEW ASSET MANAGEMENT, LLC",2017,48.53225934570424
AMERICAN FINANCIAL GROUP INC 401(K) RETIREMENT & SAVINGS PLAN,2015,48.47981136651551
AMERICAN FINANCIAL GROUP INC RETIREMENT & SAVINGS PLAN/,2013,48.47981136651551
"VTL Associates, LLC",2013,48.15219703851513
WOODBURN R ROBERT JR,2013,48.1381485541667
TUKMAN GROSSMAN CAPITAL MANAGEMENT INC,2015,48.043809414178064
"Evercore Trust Company, N.A.",2013,47.64395344099474
STARR INTERNATIONAL CO INC,2017,47.42146110188756
Hengistbury Investment Partners LLP,2015,47.13148507339628
"Cook & Bynum Capital Management, LLC",2015,46.60933913761891
"TRIAN FUND MANAGEMENT, L.P.",2017,46.18685414875016
