name,scores.comm.overall,scores.cust.overall,scores.env.overall,scores.jobs.overall,scores.mgmt.overall,scores.prod.overall,scores.worker.overall,scores.comm.abuse,scores.comm.charity,scores.comm.conflict,scores.comm.local,scores.comm.oppress,scores.comm.rels,scores.cust.disc,scores.cust.exp,scores.cust.fair,scores.cust.label,scores.cust.priv,scores.cust.truth,scores.env.efficient,scores.env.mgmt,scores.env.pollution,scores.jobs.growth,scores.jobs.size,scores.mgmt.integrity,scores.mgmt.laws,scores.mgmt.profit,scores.mgmt.reporting,scores.mgmt.return,scores.mgmt.tax,scores.prod.ben,scores.prod.price,scores.prod.qual,scores.worker.balance,scores.worker.career,scores.worker.ceo,scores.worker.fairpay,scores.worker.health,scores.worker.hiredisc,scores.worker.layoff,scores.worker.living,scores.worker.open,scores.worker.paydisc,scores.worker.pto,scores.worker.retire,scores.worker.safe,total
JUST 100,67.35431164942045,52.3924492673614,64.40401733862822,50.335391686412116,53.79720692530498,59.79314345490561,65.54081530819646,83.4185172865654,69.78901713980352,61.7526522850554,66.49035368816341,50.05468889339548,68.11317820417652,51.31268561518674,44.747240088575495,51.625812499160546,51.1988689102838,59.38113832006503,50.66098794206944,74.02431643421097,67.89174954110791,53.73866506538273,49.12259949035103,52.265297250286636,55.957863935177095,53.859895081393276,57.57666736945732,53.169153790653105,58.42100789419748,49.53804120543202,77.78251851308875,49.82863755778309,49.69449764834534,78.67352407658984,72.8205514349313,54.68300458143312,62.35988640249404,68.19029503373652,60.55468693637453,51.447790398398276,64.07870220655246,75.44917531936836,73.62593677061496,68.13223129221583,64.74586402120171,63.28420679686507,100
Aerospace & Defense,48.97475482230579,49.20008824349407,55.856524024681086,47.840854523695256,55.43756424939053,49.13400817347671,54.67203778259613,47.960242176693455,48.610680997550574,54.48719507318549,43.887632071699834,47.41796184244539,52.21082375485953,51.611377043117045,49.14404267284272,51.69518700313598,51.700614940387666,42.81575438862296,51.51315431583617,51.13357318373656,58.69258251058555,57.64790702464733,43.039780804801296,55.480760941924295,57.988229238956215,55.163918373134344,60.09321637122549,48.085720569340864,68.90683470439677,54.38202739662411,46.69842191397546,53.486610668012894,48.55022541430908,54.24362109925183,51.235004953400754,53.776614946864534,56.89296611499187,48.86847264990377,52.01189272815523,51.447790398398276,67.8522623271945,42.76275384582087,46.343515807346265,52.66347271723628,56.59750466216387,60.627311061954416,18
Automobiles & Parts,54.37975705903628,50.388621316404155,56.88985262384014,49.09906170458739,51.04328839707247,44.75725549309398,47.63070473870313,63.574430592263944,38.47064308053114,66.73093498602515,44.686314814331055,51.25960030037485,46.77178646568244,51.611377043117045,51.983520116787176,51.69518700313598,51.700614940387666,46.30992265024243,51.51315431583617,58.18986159847193,57.10566291303181,55.6421192963872,47.9506941614785,50.92644888436697,52.617777947977736,53.35657528532149,53.042652217586046,55.63096809001883,46.75513393787489,42.97966749017573,48.91805144428386,53.11018092318641,35.49844938209255,38.78521125736915,41.33156593158525,32.45509831711942,53.278055703740606,47.410566239327885,51.494652898257435,51.447790398398276,41.10729827445284,51.3727760385459,51.4625936770615,39.63566449439551,51.05427997601703,55.48374676433252,15
Banks,48.39460609890066,47.4116298065839,53.84337437118691,47.74713868365066,47.19284355381619,52.32006702934138,47.27446949094592,38.984896725704665,46.478586139941264,50.772102227095075,51.87445949801205,51.483665454046836,56.00624960425584,45.07870289754804,45.905929010798815,42.615909757312096,51.700614940387666,48.82747770575478,51.51315431583617,52.71843344232932,46.43198521157866,60.39459516491969,45.95943673496501,50.59189308471211,48.27174181402127,33.20528208750029,57.57985068424334,53.00318298134338,46.349753934622164,55.44590555109785,50.11369224316235,49.380811773390015,56.261842390719735,53.649794261710156,49.87222879863401,53.4200350556367,43.49066564354273,44.5727321536369,49.5334692188258,49.62760491272213,43.06444638625849,46.18757279817283,44.254096268686986,59.57762190525624,47.258646763181076,46.86336593021302,42
Basic Resources,52.12519272142997,49.56954484011185,40.66025078346022,47.42778798255502,52.58224623157484,53.10231622281649,53.51192162083614,56.80236043373891,65.41256453744462,28.183764741780184,62.01158661602371,51.483665454046836,53.1959047524933,51.611377043117045,54.813026436152334,51.69518700313598,51.700614940387666,41.47184351876932,51.51315431583617,40.878542081893286,56.511796387047895,28.47315939688269,48.44574324176971,45.80792472410541,63.901416318569595,55.77969249756043,27.121621177418312,55.63096809001883,27.696274946324255,50.719348041041876,49.401458879836866,53.486610668012894,56.261842390719735,35.78018010223258,49.83551395535305,60.03811170303636,63.65907199043464,50.71593643944193,61.24046273659615,51.447790398398276,66.62021919207109,61.65322360060767,47.74985588144386,36.849078555929175,56.1018349195423,37.47359091280507,13
Building Materials & Packaging,50.77674807529599,50.73495482701642,48.906453454963795,46.29637078263317,51.789457798526925,53.54138131709091,47.36332355192277,50.32982652926742,48.445753679878266,52.38158375059523,47.59580194820194,51.483665454046836,53.002375825928425,51.611377043117045,62.400823895343045,51.69518700313598,51.700614940387666,42.459206606825056,51.51315431583617,48.74517725106772,52.56701610933513,46.268674739656774,46.944997638296734,45.26421656718791,50.09055967977026,53.546210284073894,59.449242279573134,45.02109696315308,50.4904728872887,54.65697489570595,52.85788549926816,53.486610668012894,54.20658299126716,37.88797294489021,46.25581676178212,57.86441845248616,50.75419530196018,41.319123184937574,51.460152748578494,51.447790398398276,60.469615661103475,38.32954317479254,42.68703161469253,41.47083771124049,39.41624187378634,41.402433395032276,28
Capital Markets,45.42995173057242,50.480240071581264,54.520921473093004,45.898134045976654,49.14657033421052,55.263012903286686,53.36810446658263,35.055876322619945,47.149484686914874,50.772102227095075,47.08236304222472,50.9100474686266,48.44799513092768,51.611377043117045,46.833902278291646,51.69518700313598,51.700614940387666,49.304924017344824,51.51315431583617,56.21813047155703,45.11572440558168,60.228279175080175,46.8744779325281,44.34448659917563,41.814012930066546,44.14070156212305,66.11768357936965,53.791518513946016,61.67054411559184,49.14382755436232,58.551562797988034,49.06188403352274,56.261842390719735,63.10901440873842,50.123114009014344,53.90425957463872,49.07537202023448,54.331894087945386,49.34970787700931,51.447790398398276,58.8987487568852,49.2019077084606,49.268703161469254,55.94815297429291,68.58077690814966,50.76916325149432,30
Chemicals,53.79960233593893,51.97241902703767,44.874073180932946,44.22109764682369,51.24560346670934,55.35788159825235,54.201755096956134,64.77723261205776,49.67998497014821,38.89582047281247,60.43177459763229,48.544753017791194,52.50546764822949,51.611377043117045,56.72178253973506,51.69518700313598,51.700614940387666,50.48153169727791,51.51315431583617,46.990948806536814,52.18707487833062,37.57002766982163,44.535495144414455,43.720799671754854,54.20160565632457,51.957796128142625,50.64957001512269,52.75129065823245,50.927964422839835,46.43908379061839,56.18743255792445,52.78990420612594,56.261842390719735,47.121127582193964,53.29154722023037,58.3771377434568,56.25326212755022,50.67760196848203,56.40797336389645,51.447790398398276,63.394305511439626,57.96140820002171,47.97737746658805,38.33780593895627,63.217453088131485,52.74390354965122,28
Commercial Support Services,49.48873077824515,52.697081786492035,53.638213072845815,46.26241959491082,52.66573362711241,52.645027874267555,46.95315341302246,46.374109577745,44.49642812074397,56.85653953113048,45.72244377774453,51.483665454046836,50.71487954579356,51.611377043117045,57.85980324479115,48.9486391493528,51.700614940387666,55.598474187404584,49.46195349518814,51.45406057548225,50.74365237748658,57.65210615867805,45.180095933785644,47.984711725667,47.10221731247674,55.17931724449557,55.60956500737259,49.09332202866595,57.707565089882934,55.5643044237774,48.688093190958284,53.486610668012894,55.74339857824521,44.63123670852699,40.54422202046072,60.91219356064508,38.09188244588736,34.14197611658894,54.55337271152907,51.447790398398276,51.51591345216287,40.64423401535281,48.46936673147204,53.878471057257556,38.40673451574548,51.66924271576668,37
Commercial Vehicles & Machinery,51.210803157039734,49.42289354605113,57.19650914167679,44.21361499008626,53.168347049547826,55.49838732906218,48.85076652153331,51.34972080609445,44.29110084685282,55.64978047010285,47.88104578485594,51.21494851918232,52.89834206756402,51.611377043117045,55.88233798833888,51.69518700313598,51.700614940387666,40.31991991603763,51.51315431583617,59.662093325573636,57.08657463327787,55.22331069055352,43.454479948480305,45.421619910703065,47.980008331948625,56.059338899532264,54.11727664504414,52.64463593853665,54.7356381218942,54.223254483302355,62.25824416640458,53.486610668012894,50.578162076184235,37.38222784416547,44.577098237130436,57.4873876781436,46.867397118187874,42.57848599237436,49.92440289345311,51.447790398398276,60.68650951964778,42.59187463268017,42.68703161469253,37.12189530454741,53.06518923718659,54.76379401677953,27
