,investor,year,weighted_score
10334,MEDIATEL PARTNERS,2013,53.308175012865384
4419,"Cook & Bynum Capital Management, LLC",2013,50.31756700925551
5719,"Evercore Trust Company, N.A.",2013,47.64395344099474
9551,"LONGVIEW ASSET MANAGEMENT, LLC",2013,44.63984061664478
17291,WELLCOME TRUST LTD (THE) as trustee of the WELLCOME TRUST,2013,42.88741232724778
18005,united american securities inc. (d/b/a uas asset management),2013,42.60365161205042
14084,SALIENT TRUST CO LTA,2013,41.32660450353893
1702,BERKSHIRE HATHAWAY INC,2013,41.238076929824
14739,SRB Corp,2013,41.173708838090526
6491,Focused Investors LLC,2013,40.8853320509575
645,ASHMORE WEALTH MANAGEMENT LLC,2013,39.704484714023536
3683,"CSU Producer Resources, Inc.",2013,39.614961122507665
3722,CULLINAN ASSOCIATES INC,2013,39.11239921267072
14771,STARR INTERNATIONAL CO INC,2013,38.91592293227422
6988,GREENLEAF TRUST,2013,38.215440476129196
17031,"Vantage Investment Partners, LLC",2013,37.74717606481398
10292,MCDONALD CAPITAL INVESTORS INC/CA,2013,37.30902051271446
1941,BRANDYWINE TRUST CO,2013,37.245547359613916
2143,BUSH ODONNELL INVESTMENT ADVISORS INC,2013,36.042905206793726
3597,CORTLAND ASSOCIATES INC/MO,2013,35.59548975071602
13755,Randolph Co Inc,2013,35.47083585873095
6671,GAMBLE JONES INVESTMENT COUNSEL,2013,35.39233092457765
5467,EXCALIBUR MANAGEMENT CORP,2013,33.7874396971674
12445,POLEN CAPITAL MANAGEMENT LLC,2013,33.71474454791837
8748,JENSEN INVESTMENT MANAGEMENT INC,2013,33.37082845351063
17003,"ValueAct Holdings, L.P.",2013,33.265370330846224
8514,Independent Franchise Partners LLP,2013,33.190326837904486
17065,Veritas Investment Management LLP,2013,33.01882839176503
13720,"RWWM, Inc.",2013,32.91610026376761
6639,Fundsmith LLP,2013,32.835620699844874
6977,GREEN VALLEY INVESTORS LLC,2013,32.79802866925733
1439,BAKER BOYER NATIONAL BANK,2013,32.7939749012302
14036,Ruffer LLP,2013,32.597862873749364
7107,Gabalex Capital Management LLC,2013,32.381600187783164
16727,UNITED BANK /VA/,2013,32.20633721915455
4879,DILLON & ASSOCIATES INC,2013,32.0131009108163
3948,"Capital Wealth Planning, LLC",2013,31.728766960317827
13598,ROBSHAW & JULIAN ASSOCIATES INC,2013,31.652227177504358
5519,Edge Wealth Management LLC,2013,31.45116001263321
794,"Adams Asset Advisors, LLC",2013,31.33960342203043
7980,"Haverford Financial Services, Inc.",2013,31.278668502921565
15934,"TEGEAN CAPITAL MANAGEMENT, LLC",2013,31.11204929184904
7346,"Grantham, Mayo, Van Otterloo & Co. LLC",2013,30.88936503857408
17514,WOODLEY FARRA MANION PORTFOLIO MANAGEMENT INC,2013,30.73208269840438
2359,Benin Management CORP,2013,30.570750040460798
10667,Magellan Asset Management Ltd,2013,30.520843383397427
7771,HORAN CAPITAL MANAGEMENT,2013,30.420067914018244
17053,Veritas Asset Management LLP,2013,30.284876807444693
10716,"Manikay Partners, LLC",2013,30.070228765554432
5542,Edinburgh Partners Ltd,2013,30.035187378226446
6046,FISHMAN JAY A LTD/MI,2013,29.770934792146058
12642,"Pacifica Capital Investments, LLC",2013,29.62050960190061
94,ACADEMY CAPITAL MANAGEMENT INC/TX,2013,29.300539517887987
10528,MONTGOMERY INVESTMENT MANAGEMENT INC,2013,29.29024295259744
10781,"Martin Investment Management, LLC",2013,29.26876732858149
597,ARMSTRONG HENRY H ASSOCIATES INC,2013,29.238404268136822
12510,PRIVATE ASSET MANAGEMENT INC,2013,29.100884298562047
14221,SCHULHOFF & CO INC,2013,29.074662661825847
17710,"WestEnd Advisors, LLC",2013,28.98393791957435
14568,SMITHBRIDGE ASSET MANAGEMENT INC/DE,2013,28.935026651386952
4287,"Coho Partners, Ltd.",2013,28.802147073766143
6401,"First Fiduciary Investment Counsel, Inc.",2013,28.564946489024944
11274,NICHOLS & PRATT ADVISERS LLP /MA,2013,28.513761507052102
15783,Suncoast Equity Management,2013,28.491108557890502
17883,"YCG, LLC",2013,28.457446531529385
6521,"Forester Capital Management, LTD",2013,28.309872672035088
9625,LYNCH & ASSOCIATES/IN,2013,28.22585616029823
6246,Family Capital Trust Co,2013,28.19506142168671
15883,"TCTC Holdings, LLC",2013,28.137408159065824
9813,Lindsell Train Ltd,2013,27.99974811581891
7456,HALL LAURIE J TRUSTEE,2013,27.937645335761964
16743,UNITED FIRE GROUP INC,2013,27.85893056091049
12430,PLATINUM INVESTMENT MANAGEMENT LTD,2013,27.749607505806654
9171,Kemnay Advisory Services Inc.,2013,27.63683603530034
